x,z_upper,z_lower,delta
3.839464882943143476e+00,4.171997023657288972e-01,-2.775988768254298855e-01,8.099494741753751614e-02
3.862876254180601876e+00,4.149618507033248083e-01,-2.764029115900287215e-01,8.141808201274156054e-02
3.886287625418059832e+00,4.127239990409207748e-01,-2.752069463546276129e-01,8.184085041379327019e-02
3.909698996655518233e+00,4.104861473785166859e-01,-2.739905354234736801e-01,8.226325514076884837e-02
3.933110367892976189e+00,4.081969798267637839e-01,-2.727241061796606969e-01,8.268529868142145134e-02
3.956521739130434590e+00,4.058861555293717394e-01,-2.714576769358476582e-01,8.310698349178557987e-02
3.979933110367892546e+00,4.035753312319798058e-01,-2.701912476920346196e-01,8.352831199676677421e-02
4.003344481605350502e+00,4.012645069345878168e-01,-2.689248184482216364e-01,8.394928659071689003e-02
4.026755852842809347e+00,3.989536826371957723e-01,-2.676364894770919545e-01,8.436990963799538557e-02
4.050167224080267303e+00,3.965930143086487947e-01,-2.662994191418552870e-01,8.479018347351711948e-02
4.073578595317725259e+00,3.942146804949253069e-01,-2.649623488066186194e-01,8.521011040328713149e-02
4.096989966555183216e+00,3.918363466812018747e-01,-2.636252784713819519e-01,8.562969270492255813e-02
4.120401337792642060e+00,3.894580128674782760e-01,-2.622882081361452289e-01,8.604893262816232236e-02
4.143812709030100017e+00,3.870796790537547882e-01,-2.609294909160062570e-01,8.646783239536461052e-02
4.167224080267557973e+00,3.846505065048125283e-01,-2.595260156305043142e-01,8.688639420199310848e-02
4.190635451505016817e+00,3.822061605333066936e-01,-2.581225403450022604e-01,8.730462021709153864e-02
4.214046822742474774e+00,3.797618145618009144e-01,-2.567190650595003176e-01,8.772251258374728911e-02
4.237458193979932730e+00,3.773174685902951353e-01,-2.553155897739983748e-01,8.814007341954460673e-02
4.260869565217390686e+00,3.748731226187893562e-01,-2.538906268365547780e-01,8.855730481700720136e-02
4.284280936454849531e+00,3.723780109550621775e-01,-2.524236470058244253e-01,8.897420884403081653e-02
4.307692307692307487e+00,3.698701021155580970e-01,-2.509566671750941280e-01,8.939078754430604401e-02
4.331103678929765444e+00,3.673621932760540165e-01,-2.494896873443638030e-01,8.980704293773161817e-02
4.354515050167223400e+00,3.648542844365499360e-01,-2.480227075136335058e-01,9.022297702081852333e-02
4.377926421404682245e+00,3.623463755970457445e-01,-2.465341044933236359e-01,9.063859176708488619e-02
4.401337792642140201e+00,3.597884107213514260e-01,-2.450048381767108430e-01,9.105388912744240282e-02
4.424749163879598157e+00,3.572198134804935310e-01,-2.434755718600980778e-01,9.146887103057405044e-02
4.448160535117056114e+00,3.546512162396355805e-01,-2.419463055434852850e-01,9.188353938330362514e-02
